"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1883 0.257943222524995 1 10 "GO:0000003" "reproduction" 0.702714459841425
-443 0.761534802169463 2 13 "GO:0000027" "ribosomal large subunit assembly" 0.941871049715753
2008 0.205867894854039 2 11 "GO:0000028" "ribosomal small subunit assembly" 0.640351518247646
-2850 0.0183299470363717 3 19 "GO:0000041" "transition metal ion transport" 0.185104971877043
-624 0.669085225671811 6 13 "GO:0000045;GO:1905037" "autophagosome assembly" 0.908083463125404
227 0.923123013876909 3 5 "GO:0000054;GO:0033750" "ribosome localization" 0.983073625749117
1321 0.538684860600995 -1 6 "GO:0000059;GO:0006610" "obsolete protein import into nucleus, docking" 0.85270733791479
1801 0.333277472907047 -1 8 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.759656749986508
202 0.91901496488137 3 7 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.981862022600267
1271 0.142219335230868 7 37 "GO:0000075;GO:1901988;GO:0010948" "negative regulation of cell cycle process" 0.53551477288094
-339 0.846810801899295 3 9 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.968837915482029
3032 0.103261873096692 2 8 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.480064297229151
771 0.447101786546464 5 27 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.825329585368218
-1369 0.222568086577936 3 22 "GO:0000096" "sulfur amino acid metabolic process" 0.660663441529234
-2192 0.119296788881686 3 14 "GO:0000097" "sulfur amino acid biosynthetic process" 0.500355892592094
207 0.722575585588523 6 82 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.923578892833557
842 0.651050026616017 3 8 "GO:0000132;GO:0040001" "establishment of mitotic spindle localization" 0.899258706442201
656 0.653076575021965 6 13 "GO:0000154" "rRNA modification" 0.899258706442201
-773 0.385073735039743 2 35 "GO:0000165" "MAPK cascade" 0.79315797375869
1033 0.418792912494506 2 17 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.808135777441816
371 0.863040680868789 -1 6 "GO:0000187" "obsolete activation of MAPK activity" 0.973508254438625
74 0.92857155496706 2 41 "GO:0000209" "protein polyubiquitination" 0.984530669390687
213 0.73848276725701 3 68 "GO:0000226" "microtubule cytoskeleton organization" 0.932210309340127
-2068 0.192651766433085 8 11 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.623350255757626
-2481 0.0779145461637138 2 14 "GO:0000245" "spliceosomal complex assembly" 0.430057740099714
-583 0.638384401469016 3 18 "GO:0000278" "mitotic cell cycle" 0.895220699837925
-1636 0.175599423933297 3 19 "GO:0000280;GO:0048285" "organelle fission" 0.601597215057482
2205 0.130962220645138 4 13 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.519759058484478
-679 0.732933569253004 6 7 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.927486142291778
-1077 0.588172386838011 7 7 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.875331260508414
1327 0.425358107102325 8 10 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.813056971477702
691 0.677985855364914 2 10 "GO:0000302" "response to reactive oxygen species" 0.908083463125404
-1081 0.411525624433536 3 16 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.805407624181046
-1388 0.216299597485365 7 22 "GO:0000387" "spliceosomal snRNP assembly" 0.65354207540748
-1002 0.0717232362021311 8 90 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.413448962270988
1365 0.224093539161794 2 22 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.66077492434564
-1090 0.492360655807002 2 11 "GO:0000422" "autophagy of mitochondrion" 0.850687339767374
-3443 0.0643666216813665 2 8 "GO:0000460" "maturation of 5.8S rRNA" 0.382974166199323
-5066 0.0184118622115709 2 6 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.185104971877043
1093 0.582936621477451 4 7 "GO:0000467;GO:0031125" "rRNA 3'-end processing" 0.872081447010996
-3295 0.0153768062208162 4 15 "GO:0000470" "maturation of LSU-rRNA" 0.171188356342402
-733 0.733092954386929 2 6 "GO:0000479" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.927486142291778
169 0.915091632759137 2 11 "GO:0000578" "embryonic axis specification" 0.981286255384065
417 0.846058164451739 2 6 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.968837915482029
1104 0.639137341608531 4 5 "GO:0000722" "telomere maintenance via recombination" 0.895220699837925
272 0.852393808411069 3 13 "GO:0000723;GO:0032200" "telomere maintenance" 0.968837915482029
392 0.758746505474526 6 17 "GO:0000724;GO:0000725" "recombinational repair" 0.941871049715753
1401 0.234244998766819 2 20 "GO:0000902" "cell morphogenesis" 0.677829245716337
2131 0.0952601770880655 3 17 "GO:0000910" "cytokinesis" 0.4735290904761
579 0.755648247534446 3 8 "GO:0000915;GO:0000912;GO:0044837;GO:0032506" "cytokinetic process" 0.939777968926914
290 0.708940282894901 6 46 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.922775451079111
-2199 0.186619244039697 2 10 "GO:0000959" "mitochondrial RNA metabolic process" 0.62081881757581
-6133 0.00918043816370275 3 5 "GO:0001508" "action potential" 0.1245151295818
-1939 0.0557107517612249 3 27 "GO:0001510" "RNA methylation" 0.35240015840737
1303 0.433817703925499 3 10 "GO:0001522" "pseudouridine synthesis" 0.818577701050749
-646 0.670890153212768 2 12 "GO:0001525" "angiogenesis" 0.908083463125404
-4540 0.0225113806857927 3 7 "GO:0001541" "ovarian follicle development" 0.203169723733972
-927 0.271914376930065 3 39 "GO:0001558" "regulation of cell growth" 0.71127728866998
21 0.990269969048377 3 9 "GO:0001568" "blood vessel development" 0.999300851426874
25 0.990622074722889 4 6 "GO:0001578" "microtubule bundle formation" 0.999300851426874
-2193 0.119128217266215 2 14 "GO:0001649" "osteoblast differentiation" 0.500355892592094
633 0.591115172531317 3 20 "GO:0001654" "eye development" 0.875331260508414
-941 0.436187052069671 3 19 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.818577701050749
-3707 0.0845537628551153 5 6 "GO:0001676" "long-chain fatty acid metabolic process" 0.4435133710009
292 0.867998282502153 4 9 "GO:0001678" "intracellular glucose homeostasis" 0.974119002754908
-1574 0.428847378511705 4 7 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.815987197062062
-1559 0.209047673717267 2 18 "GO:0001701" "in utero embryonic development" 0.642273971044265
744 0.752054043927058 3 5 "GO:0001707;GO:0001704" "formation of primary germ layer" 0.938699369414144
2076 0.377813116436341 2 5 "GO:0001708" "cell fate specification" 0.788299725064333
3492 0.0130851286264916 2 14 "GO:0001709" "cell fate determination" 0.156743136525846
-1231 0.308119982228218 7 19 "GO:0001731" "formation of translation preinitiation complex" 0.737077699231985
4980 0.0204930063517555 3 6 "GO:0001736;GO:0007164" "establishment of tissue polarity" 0.1977867870178
1525 0.517169994290293 2 5 "GO:0001745" "compound eye morphogenesis" 0.850687339767374
-4469 0.0375657646885184 2 6 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.287749266913775
401 0.86493332232478 3 5 "GO:0001752;GO:0042706;GO:0046552" "compound eye photoreceptor fate commitment" 0.973508254438625
-2545 0.14701991262737 6 9 "GO:0001754;GO:0046530" "eye photoreceptor cell differentiation" 0.54455401848164
1060 0.621794502809257 4 6 "GO:0001755;GO:0090497" "mesenchymal cell migration" 0.888503312389877
-1874 0.285632760330931 2 9 "GO:0001756" "somitogenesis" 0.727652688082869
2535 0.0953226114635134 4 12 "GO:0001764" "neuron migration" 0.4735290904761
-10 0.992131354812184 3 27 "GO:0001817" "regulation of cytokine production" 0.999300851426874
-51 0.97571490524828 2 10 "GO:0001818" "negative regulation of cytokine production" 0.995158499374604
941 0.474932655350644 4 16 "GO:0001819" "positive regulation of cytokine production" 0.839223798902834
-2938 0.0775672887729453 2 10 "GO:0001822" "kidney development" 0.429544756516409
-145 0.937793305817313 4 8 "GO:0001837;GO:0048762" "epithelial to mesenchymal transition" 0.989239690239459
-1127 0.63222778512895 5 5 "GO:0001838;GO:0072175" "embryonic epithelial tube formation" 0.891346184543236
666 0.674591268344194 3 11 "GO:0001843;GO:0060606" "neural tube closure" 0.908083463125404
-911 0.647040894910567 4 7 "GO:0001885" "endothelial cell development" 0.898130365619858
-19 0.99037535838485 3 11 "GO:0001889" "liver development" 0.999300851426874
-1352 0.373707342890279 2 12 "GO:0001894;GO:0060249" "anatomical structure homeostasis" 0.787022072495862
220 0.70567720306673 4 82 "GO:0001932;GO:0042325" "regulation of phosphorylation" 0.921027870499966
986 0.204417228946867 3 46 "GO:0001933;GO:0031400;GO:0042326;GO:0045936;GO:0010563" "negative regulation of phosphorus metabolic process" 0.637299867639116
