"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-11 0.987561233342327 1 17 "GO:0000003" "reproduction" 0.994522466203094
-610 0.457713167488595 4 12 "GO:0000012" "single strand break repair" 0.668365250253232
-1041 0.00465727925045762 2 60 "GO:0000018" "regulation of DNA recombination" 0.0370472224130536
1621 0.00628371943469963 2 23 "GO:0000027" "ribosomal large subunit assembly" 0.0452012082490989
451 0.299413349165617 2 43 "GO:0000041" "transition metal ion transport" 0.520566751593604
-158 0.703278135724363 2 47 "GO:0000045;GO:1905037" "autophagosome organization" 0.837828609225779
-3328 1.67162607794519e-07 4 20 "GO:0000070;GO:0000819" "sister chromatid segregation" 7.38388581617352e-06
-2024 0.00146060948165765 7 20 "GO:0000076" "DNA replication checkpoint signaling" 0.0170755284206424
-1413 0.00290960478286755 2 36 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.0273267162563353
-1462 4.70960216031852e-05 2 63 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.00110033432291078
-1347 0.00031977688970871 2 58 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.00525586783259607
333 0.482213927240361 4 36 "GO:0000096" "sulfur amino acid metabolic process" 0.689561954892196
-1424 0.00178612095000544 2 39 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.0196473304500598
-100 0.868600363174139 2 22 "GO:0000154" "rRNA modification" 0.931184386307657
-68 0.807037247780985 5 104 "GO:0000165" "MAPK cascade" 0.896937788134704
-599 0.112706947939413 2 57 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.286273622484026
-1204 0.160097953806291 -1 11 "GO:0000186" "obsolete activation of MAPKK activity" 0.359203901119353
250 0.618814020742275 -1 32 "GO:0000187" "obsolete activation of MAPK activity" 0.784126955014976
-427 0.0357075719314942 3 199 "GO:0000209" "protein polyubiquitination" 0.141379980182541
-1306 0.0277257383201916 2 23 "GO:0000212" "meiotic spindle organization" 0.119300855755223
-866 8.50920702772654e-08 4 319 "GO:0000226" "microtubule cytoskeleton organization" 4.22026811708472e-06
226 0.792161153625066 3 11 "GO:0000245" "spliceosomal complex assembly" 0.890433233120502
-608 0.408030994813945 2 15 "GO:0000266;GO:0003374" "mitochondrial fission" 0.627856116093041
-1271 0.0737321285704092 5 16 "GO:0000271" "polysaccharide biosynthetic process" 0.222020065994973
